Endereço,Preço,Condominio,Iptu,Lista Comodos,Lista Caracteristicas,Obserevacoes,url_id_anuncio
"['Avenida Ironman Victor Garrido, 140 - Urbanova, São José dos Campos - SP']",['R$ 85.000'],['condomínio não informado'],['IPTU não informado'],"['', '', '', '', '150 m²', '1 quarto', '10 vagas', '2 banheiros']",[],"['Fundo de Comércio - Excelente Restaurante por kilo - Urbanova - 200m².\n\nOPORTUNIDADE! OPORTUNIDADE! OPORTUNIDADE!\n\nEste fundo de comércio está localizada no Urbanova, possui fácil acesso às principais vias da cidade.\n\nConheça um pouco mais das características deste imóvel.\n\n- Salão de 150m²\n- Cozinha\n- 3 banheiros\n- Estacionamento\nContendo:\n1 Balcão Expositor Refrimate ( modelo top Platinum) 2000 kg\n1 Balcão expositor refrimate top platinum 1000 kg\n1 Freezer vertical Ah Rebelo 570 litros ( porta de vidro)\n1 Freezer vertical 2 portas 570 litros\n1 Geladeira (3 portas de vidro) conservex modelo AS-3 / E\n1 Balança Balmak Digital Modelo OD 8/15\n1 Balança Toledo Próx digital\n1 Forno gás Venâncio com 6 Queimadores\n15 mesas ( 70x70) madeira\n26 cadeiras de madeira\n1 cadeira de madeira criança\n2 pallets de madeira com vidro temperado\n2 rechaud térmicos ( Ibet ) comprimento 855 mm x 385 mm de profundidade ( 2500 whatss de potência\n8 câmeras digital HD\n3 instantes de plásticos\n2 ventiladores de teto\n1 aparelho de Ar condicionado de teto Elgin\n( 36.000 BTUs)\n1 computador LG completo\n1 impressora térmica Sat Elgin\n1 cafeteira estressa ( 3 corações)\n2 mochilas térmicas para entregas\n1 Cortador de frio semi automático Filizola\n1 fogão industrial Gastromaq (6 bocas)\n1 fritadeira Gatromaq( água e óleo)\n1 microondas Brastemp\n1 Suporte para bobina de filme de PVC ( 40 cm )\n1 aparelho de celular Samsung J7\n1 aparelho de telefone Fixo\n1 Cortador de legumes Colombo\n1 espremedor de laranja 220 volts ( inox)\n1 estante de metal com 8 portas ( armazenar roupas e uniformes)\n11 cubas inox 1/2\n6 cubas inox 1/4\n1 Escada inox 5 degraus\n1 Panela pressão 20 litros\n16 portas guardanapos de mesa\n3 Mesas de Inox para trabalho\nPia de Inox\nEstantes de Inox ( para utensílios)\nArmários Planejados\nInstalação de gás de cozinha\nExtintores\nLuminária de Teto\nUtensílios diversos( facas, talheres, pratos, travessas, tábuas de carne, panelas, , panelas de pressão, frigideiras, escorredores, xícaras de café, objetos de decoração, etc)\n\nRestaurante self service por kilos com sistema de delivery. ( 6 anos de atuação com carteira de clientes formada),\n\nSalão para capacidade de 30 a 40 pessoas\nCozinha 60 metros\nSalao 150 metros\nDispensa de alimentos\nBanheiros ( feminino, masculino e cadeirantes)\nCorredores externo\nEstacionamento\nTotem com iluminação\n\n- Ótima localização, região central do bairro\nMostrar mais']",['https://www.zapimoveis.com.br/imovel/venda-casa-1-quarto-urbanova-sao-jose-dos-campos-sp-150m2-id-2552512686/']
"['Buquirinha II, São José dos Campos - SP']",['R$ 85.000'],['condomínio não informado'],['IPTU não informado'],"['', '', '', '', '250 m²', '3 quartos', '2 vagas', '1 banheiro']",[],['Terreno/casa no buquirinha II em São José dos Campos.\n- Acesso total ao imóvel asfaltado\n- Ponto de ônibus próximo\n- 3 cômodos e banheiro para fazer melhorias\n- Será instalado um portão novo\n- Telhado novo com estrutura de treliças\n\nPara mais informações WhatsApp\nVendas: Imobiliária EDK Imóveis - CRECI: 27780-J -\nMostrar mais'],['https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-buquirinha-ii-sao-jose-dos-campos-sp-250m2-id-2547489292/']
"['Vila Betânia, São José dos Campos - SP']",['Venda R$ 85.555'],['condomínio não informado'],['IPTU não informado'],"['', '', '', '', '280 m²', '3 quartos', '2 vagas', '5 banheiros']",[],"['Casa - Vila Betânia - 270m² - 3 Dormitórios.\nDescrição\nCasa - Vila Betânia - 270m² - 3 Dormitórios.\n\nEsta casa está localizada na Vila Betânia, possui fácil acesso às principais vias da cidade.\n\nConheça um pouco mais das características desta linda casa:\n\n- 270m² Área construída\n- 280m² Área terreno\n\n- 3 Dormitórios sendo duas suítes\n- Sala\n- Cozinha\n- 5 Banheiros\n- Área de serviços\n- 2 Vagas de garagem coberta\n\nDiferenciais Exclusivos:\n\n- Fogão a lenha\n- Churrasqueira\n- Edícula no fundo\n\nQue tal agendar uma visita e conhecer este imóvel hoje mesmo?\nMostrar mais']",['https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-vila-betania-sao-jose-dos-campos-sp-280m2-id-2554314631/']
"['Residencial Dom Bosco, São José dos Campos - SP']",['R$ 89.000'],['condomínio não informado'],['IPTU não informado'],"['', '', '', '', '44 m²', '2 quartos', '2 vagas', '1 banheiro']","['Área de serviço', 'Cozinha', 'TV a cabo']",['Casa à venda no Pinheirinho dos Palmares\n\n2 quartos\nSala\nCozinha\nQuintal\n2 vagas\nÁrea de serviço\nAquecedor solar para o chuveiro\n\nAgende sua visita! -'],['https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-cozinha-residencial-dom-bosco-sao-jose-dos-campos-sp-44m2-id-2542574360/']
"['Rua Cabo Frio - Jardim Satélite, São José dos Campos - SP']",['R$ 98.000'],['condomínio não informado'],['IPTU não informado'],"['', '', '', '', '243 m²', '3 quartos', '4 vagas', '4 banheiros']","['Aceita animais', 'Ambientes integrados', 'Área de lazer', 'Área de serviço', 'Armário embutido', '', '', '', 'Cozinha americana', 'Cozinha grande', 'Mobiliado', 'Piscina privativa', 'Portão eletrônico', '', '']","['Linda casa a venda em São Jose Dos Campos com 243m² sendo:\n\n3 suítes, sendo 1 c/ closet;\n5 banheiros;\nliving pé direito alto para 2 ambientes;\nÁrea gourmet c/ cervejeira;\ncozinha interna completa c/ coifa, cooktop e forno elétrico;\nÁrea de serviço com armários;\nLavabo;\nFino acabamento;\nPiscina aquecida c/ prainha e cascata;\nIrrigação automatizada;\nTodos os ambientes c/ climatização pronta;\nBanheiro p/ empregada;\ne muito mais...\n\nEntrada de 98.000,00 + 250 Parcelas,\nAprovação junto ao banco.\n\nPARA MAIORES INFORMAÇÕES CHAMAR NO WHATSAPP .\nMostrar mais']",['https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-mobiliado-jardim-satelite-sao-jose-dos-campos-sp-243m2-id-2551848073/']
"['Vila Dirce, São José dos Campos - SP']",['R$ 106.000'],['condomínio não informado'],['IPTU não informado'],"['', '', '', '', '70 m²', '1 quarto', '1 vaga', '1 banheiro']","['Área de serviço', 'Cozinha', 'Quintal']","['Linda casa\n\n1 Quarto\n1 Banheiro\n1 Vaga de garagem\nSala\nQuintal\nCozinha\nÁrea de serviço\n\nAceita-se troca em apartamento\n\nOs melhores imóveis na Região do Vale do Paraíba SP - Casas, Apartamentos, Terrenos, Chácaras e Comercial.\nMais informações WhatsApp - Vendas: Imobiliária EDKimóveis - Creci: 27780J -\nMostrar mais']",['https://www.zapimoveis.com.br/imovel/venda-casa-1-quarto-com-cozinha-vila-dirce-sao-jose-dos-campos-sp-70m2-id-2547488326/']
"['Capão Grosso II, São José dos Campos - SP']",['R$ 117.000'],['condomínio não informado'],['IPTU não informado'],"['', '', '', '', '135 m²', '1 quarto', '2 vagas', '1 banheiro']",[],"['Casa para concluir a construção com um dormitório, sala e cozinha conjugadas.\nBanheiro. Estrutura para sobrado já iniciado.\n\nMais informações WhatsApp - Vendas: Imobiliária EDKimóveis - Creci: 27880J -']",['https://www.zapimoveis.com.br/imovel/venda-casa-1-quarto-capao-grosso-ii-sao-jose-dos-campos-sp-135m2-id-2547488604/']
"['Rua José Carmo dos Anjos, 99 - Campos de Sao Jose, São José dos Campos - SP']",['R$ 119.986'],['condomínio não informado'],['IPTU não informado'],"['', '', '', '150 m²', '2 quartos', '1 banheiro']",[],"['2 quartos, área de serviço, WC, sala, cozinha.Baixar matrícula do imóvelRUA JOSE CARMO DOS ANJOS,N. 99 LT 27 QD 2, CAMPOS DE SAO JOSE - CEP: 12226-310, SAO JOSE DOS CAMPOS - SAO PAULO']",['https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-campos-de-sao-jose-sao-jose-dos-campos-sp-150m2-id-2547519968/']
"['Rua José Carmo dos Anjos, 99 - Campos de Sao Jose, São José dos Campos - SP']",['R$ 119.986'],['condomínio não informado'],['IPTU não informado'],"['', '', '', '150 m²', '2 quartos', '1 banheiro']",[],"['2 quartos, área de serviço, WC, sala, cozinha.Baixar matrícula do imóvelRUA JOSE CARMO DOS ANJOS,N. 99 LT 27 QD 2, CAMPOS DE SAO JOSE - CEP: 12226-310, SAO JOSE DOS CAMPOS - SAO PAULO']",['https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-campos-de-sao-jose-sao-jose-dos-campos-sp-150m2-id-2552027429/']
"['Jardim Santa Herminia, São José dos Campos - SP']",['R$ 120.000'],['condomínio não informado'],['IPTU R$ 24'],"['', '', '', '', '50 m²', '1 quarto', '2 vagas', '1 banheiro']","['Área de serviço', 'Jardim', 'Varanda']","['CASA COM DOCUMENTAÇÃO ESCRITURA REGISTRADA OK, POSSUI AMPLO QUINTAL, SOMENTE VENDA, DIMENSÕES DO TERRENO: 5,01 M FRENTE X 49,73 M FUNDOS, PONTO DE ÔNIBUS NA PORTA, ESCOLA ENSINO INFANTIL E FUNDAMENTAL, REF 78182 - R$ R$ 120.000,00 - Maciel Negócios Imobiliários Ltda - CRECI 11.956 J - www.imobiliariamaciel.com.br Atualizado em\nMostrar mais']",['https://www.zapimoveis.com.br/imovel/venda-casa-1-quarto-com-varanda-jardim-santa-herminia-sao-jose-dos-campos-sp-50m2-id-2533473997/']
