Endereço,Preço,Condominio,Iptu,Lista Comodos,Lista Caracteristicas,Obserevacoes,url_id_anuncio
"Rua Coronel Manoel Martins Júnior, 0 - Jardim Esplanada II, São José dos Campos - SP",R$ 42.000,condomínio não informado,IPTU não informado,"['', '', '', '', '120 m²', '2 quartos', '2 vagas', '1 banheiro']",[],"A casa está localizado no bairro Jardim Esplanada II tem 120 metros quadrados com 2 quartos sendo 1 suite e 1 banheiro

42 mil de entrada, mais parcelas.",https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-jardim-esplanada-ii-sao-jose-dos-campos-sp-120m2-id-2549208715/
"Rua Bariloche, 0 - Jardim América, São José dos Campos - SP",R$ 43.000,condomínio não informado,IPTU não informado,"['', '', '', '', '138 m²', '3 quartos', '2 vagas', '2 banheiros']","['Aceita animais', 'Ar-condicionado', 'Churrasqueira']","A casa está localizado no bairro Jardim América possui 138 metros quadrados com 3 quartos sendo 1 suite e 2 banheiros
Vai lhe possibilitar todo o conforto do ar condicionado nos dias mais quentes.Churrasqueira para você aproveitar nos momentos de descontração.

43 mil de entrada, mais parcelas.
Mostrar mais",https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-churrasqueira-jardim-america-sao-jose-dos-campos-sp-138m2-id-2549752198/
"Rio Comprido, São José dos Campos - SP",R$ 43.000,condomínio não informado,IPTU não informado,"['', '', '', '', '70 m²', '2 quartos', '2 vagas', '1 banheiro']",[],"Casa em construção termino da obra SET-2018!! Projeto único diferenciado dependendo da renda familiar "" com direito a subsidio do governo"" . Taxa de juros diferenciado . valor do imóvel r$215.000,00 Caixa financia ate 80% do valor do imóvel .",https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-rio-comprido-sao-jose-dos-campos-sp-70m2-id-95076976/
"Jardim Santa Júlia, São José dos Campos - SP",R$ 44.000,condomínio não informado,IPTU não informado,"['', '', '', '', '62 m²', '2 quartos', '1 vaga', '1 banheiro']","['Perto de vias de acesso', 'Próximo a escola', 'Próximo a hospitais', 'Próximo a shopping', 'Próximo a transporte público']","2 dormitórios wc social sala cozinha areá de serviço 2 vagas de garagem .

Imóvel novo nunca habitado dependendo da renda com subsidio do governo .

Valor do imóvel 218.000,00 sendo uma entrada de 44.000.00 mais o saldo devedor com banco 174.00,00 .",https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-jardim-santa-julia-sao-jose-dos-campos-sp-62m2-id-95081776/
"Rua Haiti, 0 - Jardim América, São José dos Campos - SP",R$ 45.000,condomínio não informado,IPTU não informado,"['', '', '', '', '132 m²', '3 quartos', '3 vagas', '3 banheiros']","['Aceita animais', 'Churrasqueira']","A casa no bairro Jardim América tem 132 metros quadrados com 3 quartos sendo 1 suite e 3 banheirosEspaço reservado para preparar o seu churrasco.

45 mil de entrada, mais parcelas.",https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-churrasqueira-jardim-america-sao-jose-dos-campos-sp-132m2-id-2549308933/
"Rua Justino Cobra, 230 - Vila Ema, São José dos Campos - SP",R$ 49.250,condomínio não informado,IPTU não informado,"['', '', '', '', '115 m²', '3 quartos', '2 vagas', '2 banheiros', '2º andar']",[],"Casa a venda em Sao jose dos Campos-SP com 3 quartos, sendo 1 suíte, sala de jantar e estar com jardim de inverno, lavabo, cozinha planejada, quintal com churrasqueira e banheiro, garagem para 2 veículos, Próxima de comércios, escolas

Entrada R$49.250,00 e assumir parcelas mediante aprovação de crédito junto ao banco.
Mostrar mais",https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-vila-ema-sao-jose-dos-campos-sp-115m2-id-2473008378/
"Rua Carinhanha, 20 - Vila São Bento, São José dos Campos - SP",R$ 50.000,condomínio R$ 300,IPTU R$ 900,"['', '', '', '', '81 m²', '3 quartos', '2 vagas', '2 banheiros']","['Aceita animais', 'Bicicletário', 'Churrasqueira', 'Condomínio fechado', 'Cozinha americana', 'Estacionamento', 'Mobiliado', 'Piscina', 'Salão de festas', 'Salão de jogos']","Vendo casa em condominio dos Ipes/ São José dos Campos
O sobrado no bairro Vila São Bento possui 81 metros quadrados com 3 quartos sendo 2 suites e 2 banheiros
Possui salão de festas.
Vai lhe possibilitar curtir os dias mais quentes na piscina.
Encontra-se em um condomínio protegido por muros.
Churrasqueira para você aproveitar nos momentos de descontração.
Já está com os móveis.
Entrada de R$ 50.000,00 e transfiro parcelas de R$ 1.500,00 mês
Tratar com Aline
Mostrar mais",https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-mobiliado-vila-sao-bento-sao-jose-dos-campos-sp-81m2-id-2548421567/
"Jardim América, São José dos Campos - SP",R$ 74.000,condomínio não informado,IPTU não informado,"['', '', '', '', '120 m²', '3 quartos', '2 vagas', '2 banheiros']",[],"Ótima Oportunidade!
casa térrea com boa localização,fácil acesso ,3 dormitorios,2 banheiros,150 m2 de área construída
entrada de R$74.000,00+saldo devedor de R$276.000,00 financiado pela Caixa Econômica Federal",https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-jardim-america-sao-jose-dos-campos-sp-120m2-id-95082128/
"Avenida Ironman Victor Garrido, 140 - Urbanova, São José dos Campos - SP",R$ 85.000,condomínio não informado,IPTU não informado,"['', '', '', '', '150 m²', '1 quarto', '10 vagas', '2 banheiros']",[],"Fundo de Comércio - Excelente Restaurante por kilo - Urbanova - 200m².

OPORTUNIDADE! OPORTUNIDADE! OPORTUNIDADE!

Este fundo de comércio está localizada no Urbanova, possui fácil acesso às principais vias da cidade.

Conheça um pouco mais das características deste imóvel.

- Salão de 150m²
- Cozinha
- 3 banheiros
- Estacionamento
Contendo:
1 Balcão Expositor Refrimate ( modelo top Platinum) 2000 kg
1 Balcão expositor refrimate top platinum 1000 kg
1 Freezer vertical Ah Rebelo 570 litros ( porta de vidro)
1 Freezer vertical 2 portas 570 litros
1 Geladeira (3 portas de vidro) conservex modelo AS-3 / E
1 Balança Balmak Digital Modelo OD 8/15
1 Balança Toledo Próx digital
1 Forno gás Venâncio com 6 Queimadores
15 mesas ( 70x70) madeira
26 cadeiras de madeira
1 cadeira de madeira criança
2 pallets de madeira com vidro temperado
2 rechaud térmicos ( Ibet ) comprimento 855 mm x 385 mm de profundidade ( 2500 whatss de potência
8 câmeras digital HD
3 instantes de plásticos
2 ventiladores de teto
1 aparelho de Ar condicionado de teto Elgin
( 36.000 BTUs)
1 computador LG completo
1 impressora térmica Sat Elgin
1 cafeteira estressa ( 3 corações)
2 mochilas térmicas para entregas
1 Cortador de frio semi automático Filizola
1 fogão industrial Gastromaq (6 bocas)
1 fritadeira Gatromaq( água e óleo)
1 microondas Brastemp
1 Suporte para bobina de filme de PVC ( 40 cm )
1 aparelho de celular Samsung J7
1 aparelho de telefone Fixo
1 Cortador de legumes Colombo
1 espremedor de laranja 220 volts ( inox)
1 estante de metal com 8 portas ( armazenar roupas e uniformes)
11 cubas inox 1/2
6 cubas inox 1/4
1 Escada inox 5 degraus
1 Panela pressão 20 litros
16 portas guardanapos de mesa
3 Mesas de Inox para trabalho
Pia de Inox
Estantes de Inox ( para utensílios)
Armários Planejados
Instalação de gás de cozinha
Extintores
Luminária de Teto
Utensílios diversos( facas, talheres, pratos, travessas, tábuas de carne, panelas, , panelas de pressão, frigideiras, escorredores, xícaras de café, objetos de decoração, etc)

Restaurante self service por kilos com sistema de delivery. ( 6 anos de atuação com carteira de clientes formada),

Salão para capacidade de 30 a 40 pessoas
Cozinha 60 metros
Salao 150 metros
Dispensa de alimentos
Banheiros ( feminino, masculino e cadeirantes)
Corredores externo
Estacionamento
Totem com iluminação

- Ótima localização, região central do bairro
Mostrar mais",https://www.zapimoveis.com.br/imovel/venda-casa-1-quarto-urbanova-sao-jose-dos-campos-sp-150m2-id-2552512686/
"Buquirinha II, São José dos Campos - SP",R$ 85.000,condomínio não informado,IPTU não informado,"['', '', '', '', '250 m²', '3 quartos', '2 vagas', '1 banheiro']",[],"Terreno/casa no buquirinha II em São José dos Campos.
- Acesso total ao imóvel asfaltado
- Ponto de ônibus próximo
- 3 cômodos e banheiro para fazer melhorias
- Será instalado um portão novo
- Telhado novo com estrutura de treliças

Para mais informações WhatsApp
Vendas: Imobiliária EDK Imóveis - CRECI: 27780-J -
Mostrar mais",https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-buquirinha-ii-sao-jose-dos-campos-sp-250m2-id-2547489292/
