Endereço,Preço,Condominio,Iptu,Lista Comodos,Lista Caracteristicas,Obserevacoes,url_id_anuncio
"Rua Confrade João Pereira dos Santos - Jardim República, São José dos Campos - SP",R$ 233.000,condomínio não informado,IPTU não informado,"['', '', '', '', '125 m²', '2 quartos', '2 vagas', '1 banheiro']","['Área de serviço', 'Cozinha']","Vendo Casa !!!

Jardim República.

Características do Imóvel:
+ 2 dormitórios;
+ Sala ampla;
+ Cozinha;
+ Banheiro;
+ Área de serviço;
+ Quintal todo revestido de cerâmica;
+ Garagem coberta para 2 carros;

Bairro de fácil acesso, completo (padaria, restaurante, ponto de ônibus, escola, supermercados... )

Venha conferir!

Outras oportunidades em nosso site:
www.cdfimoveis.com.br
Eng. Civil e Gestor de Imóveis - Cassio Daniel
CREA
CRECI 221778F




#
imoveis a venda sao jose dos campos com foto
imoveis em sao jose dos campos -
Mostrar mais",https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-cozinha-jardim-republica-sao-jose-dos-campos-sp-125m2-id-2554720429/
"Cidade Morumbi, São José dos Campos - SP",R$ 233.000,condomínio não informado,IPTU não informado,"['', '', '', '125 m²', '2 quartos', '1 banheiro']",['Cozinha'],"Casa com 2 dorms, cozinha, copa, sala, lavanderia. -",https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-cozinha-cidade-morumbi-sao-jose-dos-campos-sp-125m2-id-2512039491/
"Rua Benedita Augusta dos Santos - Conjunto Residencial Galo Branco, São José dos Campos - SP",R$ 233.000,condomínio não informado,IPTU não informado,"['', '', '', '', '91 m²', '2 quartos', '2 vagas', '1 banheiro']","['Área de serviço', 'Cozinha', 'Quintal']","2 DORMITÓRIOS; SALA; COZINHA; WC; AZ. TETO, PISO FRIO; ÁREA DE SERVIÇO; GARAGEM COBERTA PARA 2 AUTOS. NOS FUNDOS TEM 1 DORMITÓRIO E WC. PISO FRIO NA ÁREA EXTERNA. ACEITA FINANCIAMENTO. -",https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-cozinha-conjunto-residencial-galo-branco-sao-jose-dos-campos-sp-91m2-id-2516057725/
"Campos de Sao Jose, São José dos Campos - SP",R$ 233.000,condomínio não informado,IPTU R$ 30,"['', '', '', '', '112 m²', '2 quartos', '2 vagas', '2 banheiros']","['Área de serviço', 'Churrasqueira', 'Jardim', 'Varanda']","LINDA CASA A VENDA, BAIRRO MARIANA II, SÃO JOSÉ DOS CAMPOS, COM COZINHA PLANEJADA AMERICANA, SALA AMPLA, DOIS BANHEIROS, GARAGEM COBERTA COM PORTÃO AUTOMATIZADO, QUINTAL COM CHURRASQUEIRA COBERTA, ACEITA FINANCIAMENTO BANCARIO, ESTÁ ALUGADA, AT 144M2, AU 112M2, R$ 190.000,00 REF 31156 - R$ R$ 233.000,00 - Maciel Negócios Imobiliários Ltda - CRECI 11.956 J - www.imobiliariamaciel.com.br Atualizado em 9:44
Mostrar mais",https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-churrasqueira-campos-de-sao-jose-sao-jose-dos-campos-sp-112m2-id-2493601979/
"Jardim Mariana II, São José dos Campos - SP",R$ 233.000,condomínio não informado,IPTU não informado,"['', '', '', '', '90 m²', '2 quartos', '2 vagas', '1 banheiro']",[],"(28/02) - Ref. Imovel: V43607SA - Casa Padrao - Casa - Jardim Mariana II - 2 Dormitorios - 90m.

Esta casa esta localizada no Jardim Mariana II, possui facil acesso as principais vias da cidade.

Conheca um pouco mais das caracteristicas desta linda casa:

- Area do terreno 140m
- Area construida 90m

- 2 Dormitorios
- Sala
- Cozinha
- 1 Banheiro
- 2 Vagas garagem

Proximo de UBS, creches e linhas de onibus.

Que tal agendar uma visita e conhecer este imovel hoje mesmo?

Tambem temos imoveis no Vila Industrial, Motorama, Jardim Sao Vicente, Campos de Sao Jose, Jardim Mariana, Set Ville, Set Parque, casas e apartamentos proximos a mercados, farmacias, escolas, alem de pontos comerciais localizados na Zona Leste.

Seja para vender, alugar ou adquirir um imovel procure o Grupo Kaza, a sua imobiliaria em Sao Jose dos Campos.

O Grupo Kaza atua com foco em atender seus clientes com excelencia seja em locacao, vendas de imoveis prontos, usados ou mesmo nos principais lancamentos da regiao de Sao Jose dos Campos.

Vem voce tambem para o Grupo Kaza, excelencia em consultoria imobiliaria.
Mostrar mais",https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-jardim-mariana-ii-sao-jose-dos-campos-sp-90m2-id-2554035277/
"Rua Nerval Monstans Costa, 62 - Jardim Santa Júlia, São José dos Campos - SP",R$ 233.000,condomínio não informado,IPTU R$ 230,"['', '', '', '', '60 m²', '2 quartos', '2 vagas', '1 banheiro']",[],"Casa Térrea à Venda no Bairro Santa Júlia em São José dos campos, por R$ 233.000,00.

Código do Anúncio: CA0790.

- área total = 162m²
- área útil = 60m², térrea;
- Casa nova térrea, sendo 2 dormitórios, sala, cozinha;
- 1 banheiro, lavanderia; quintal;
- 2 vagas de garagem descoberta.

Localização: Próximo ao Mini Mercado Santana.

Valor IPTU anual = R$ 230,00
Valor de venda = R$ 250.000,00
Aceita Financiamento.

Agenda já a sua visita e não perca essa oportunidade.

Gislene Gutsche - CRECI 231780-F
Cel: (12) 9.9244.0535 whatsapp
email:

Fale com o nosso time

https://www.imoveisaquarius.com.br/
IMOVEIS AQUARIUS - CRECI 26.179/J

Também temos imóveis no Jardim das Colinas, Urbanova, Vila Ema, Vila Adyanna, Jardim São Dimas, Jardim das Industrias, Jardim Alvorada, Royal Park, Parque Residencial Aquarius, Chácara Serimbura, Altos da Serra, Jardim do Golfe, Alphaville, Residencial Mônaco, Residencial Monte Carlo, Floradas do Paratehy, Reserva do Paratehy, Sunset Park, Bosque Imperial, Jardim Apolo, Jardim Altos do Esplanada, Recanto da Serra, Eldorado, Moradas da Serra, Montserrat, Chácaras do Parayba, Altos da Serra VI, Pontal da Serra, Portal da Serra, Residencial Jaguary, Piaget, Vernazza, Paesaggio, Royal Palace, Pátio Condomínio Club, Esplanada Life, Lessence Jardim Aquarius, Central Park, Grand Club Vila Ema, Abruzzo, Privilege, Premiere Jardim Aquarius, Open View Aquarius entre outros da região. -
Mostrar mais",https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-jardim-santa-julia-sao-jose-dos-campos-sp-60m2-id-2548588458/
"Parque Novo Horizonte, São José dos Campos - SP",R$ 233.200,condomínio não informado,IPTU R$ 90,"['', '', '', '', '220 m²', '2 quartos', '2 vagas', '1 banheiro']","['Área de serviço', 'Churrasqueira', 'Cozinha']","Linda casa

2 quartos
sala
cozinha
banheiro
área de serviço
churrasqueira
fogão a lenha
edícula com 2 cômodos e banheiro
terreno com 220 m2.

Os melhores imóveis na Região do Vale do Paraíba SP - Casas, Apartamentos, Terrenos, Chácaras e Comercial.
Mais informações WhatsApp - Vendas: Imobiliária EDKimóveis - Creci: 27780J -
Mostrar mais",https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-churrasqueira-parque-novo-horizonte-sao-jose-dos-campos-sp-220m2-id-2547488620/
"Loteamento Jardim Helena, São José dos Campos - SP",R$ 233.200,condomínio não informado,IPTU R$ 186,"['', '', '', '', '65 m²', '2 quartos', '2 vagas', '2 banheiros']",['Cozinha'],"Casa no Jardim Helena em São José dos Campos, Próximo ao Campos de são José.
2 dormitórios
2 banheiros
- Garagem para 2 carros
- Área de churrasco com churrasqueira e fogão a lenha inclusos
( aceita permuta ou financiamento)
Os melhores imóveis na Região do Vale do Paraíba SP - Casas, Apartamentos, Terrenos, Chácaras e Comercial.
Mais informações WhatsApp - Vendas: Imobiliária EDKimóveis - Creci: 27880-J -
Mostrar mais",https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-cozinha-loteamento-jardim-helena-sao-jose-dos-campos-sp-65m2-id-2547489189/
"Residencial Ribeira, São José dos Campos - SP",R$ 233.200,condomínio não informado,IPTU R$ 90,"['', '', '', '', '125 m²', '3 quartos', '4 vagas', '2 banheiros']",['TV a cabo'],"Casa com
3 dormitórios
1 suíte
2 banheiros
- Garagem para 2 carros
- Churrasqueira
- Área de serviço
- Portão eletrônico
- Ótima localização...
Próximo a Ericsson, Embraer Eugênio de Melo, Parque tecnológico...
Aceita permuta por chácara em Caçapava

Mais informações WhatsApp - Vendas: Imobiliária EDKimóveis - Creci: 27880J. -
Mostrar mais",https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-tv-a-cabo-residencial-ribeira-sao-jose-dos-campos-sp-125m2-id-2547488923/
"Loteamento Jardim Helena, São José dos Campos - SP",R$ 234.000,condomínio não informado,IPTU não informado,"['', '', '', '', '40 m²', '2 quartos', '2 vagas', '1 banheiro']","['Área de serviço', 'Cozinha']","Linda casa

2 Quartos
1 Banheiro
Area de serviço
Sala
Cozinha
2 Vagas de garagem

Aceita-se troca

Os melhores imóveis na Região do Vale do Paraíba SP - Casas, Apartamentos, Terrenos, Chácaras e Comercial.
Mais informações WhatsApp - Vendas: Imobiliária EDKimóveis - Creci: 27780J -
Mostrar mais",https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-cozinha-loteamento-jardim-helena-sao-jose-dos-campos-sp-40m2-id-2547483428/
